組み合わせ,最頻出着順1,出現数1,出現率1,最頻出着順2,出現数2,出現率2,最頻出着順3,出現数3,出現率3,レース数
AACBCB,1-2-3,97,0.14,1-2-4,71,0.103,1-3-2,44,0.064,691
AACBCC,1-2-4,83,0.141,1-2-3,76,0.129,1-4-2,46,0.078,587
AACBCD,1-2-4,13,0.148,1-2-3,11,0.125,1-4-2,9,0.102,88
AACBDA,1-2-4,23,0.097,1-2-6,22,0.093,1-2-3,15,0.064,236
AACBDB,1-2-4,49,0.132,1-2-3,33,0.089,1-2-6,30,0.081,370
AACBDC,1-2-4,9,0.164,1-2-3,8,0.145,1-4-2,5,0.091,55
AACBDD,2-4-1,1,0.333,1-3-2,1,0.333,1-2-3,1,0.333,3
AACBDS,1-4-2,3,0.188,1-6-4,2,0.125,1-2-3,2,0.125,16
AACBSD,1-5-3,2,0.1,1-5-4,2,0.1,3-2-4,1,0.05,20
AACCAA,1-3-2,1,1.0,---,0,0.0,---,0,0.0,1
AACCAB,1-2-5,6,0.125,1-2-4,4,0.083,5-1-2,3,0.062,48
AACCAC,1-2-5,25,0.118,1-2-3,16,0.075,1-2-4,15,0.071,212
AACCAD,1-2-5,30,0.154,1-2-3,19,0.097,1-2-4,15,0.077,195
AACCBA,1-2-6,4,0.093,1-2-5,4,0.093,1-2-4,4,0.093,43
AACCBB,1-2-3,71,0.132,1-2-4,42,0.078,1-2-5,38,0.071,537
AACCBC,1-2-3,72,0.15,1-2-5,52,0.108,1-2-4,47,0.098,480
AACCBD,1-2-4,10,0.189,1-2-3,9,0.17,1-2-5,4,0.075,53
AACCCA,1-2-3,26,0.122,1-2-6,25,0.117,1-6-2,13,0.061,213
AACCCB,1-2-3,63,0.141,1-2-4,39,0.087,1-2-6,34,0.076,447
AACCCC,1-2-3,9,0.148,1-2-4,8,0.131,1-2-6,5,0.082,61
AACCCS,1-2-3,1,0.125,1-2-4,1,0.125,1-3-6,1,0.125,8
AACCDA,1-2-6,20,0.107,1-2-3,16,0.086,1-6-2,12,0.064,187
AACCDB,1-2-6,7,0.13,1-2-3,5,0.093,1-2-4,5,0.093,54
AACCDS,1-6-2,6,0.091,1-6-4,5,0.076,1-2-6,4,0.061,66
AACCSC,1-5-6,1,0.333,1-3-5,1,0.333,1-2-5,1,0.333,3
AACCSD,1-2-5,15,0.221,1-3-5,4,0.059,1-4-2,4,0.059,68
AACDAA,1-5-2,3,0.188,1-3-2,2,0.125,1-2-3,2,0.125,16
AACDAB,1-2-3,14,0.094,1-2-5,14,0.094,2-1-5,13,0.087,149
AACDAC,1-2-5,16,0.133,1-3-2,9,0.075,1-5-2,9,0.075,120
AACDAD,1-2-5,4,0.19,1-3-2,3,0.143,1-5-2,2,0.095,21
AACDBA,1-2-3,21,0.137,1-2-6,19,0.124,1-2-5,10,0.065,153
AACDBB,1-2-3,30,0.124,1-2-5,30,0.124,1-5-2,19,0.079,241
AACDBC,1-2-3,8,0.19,2-1-5,4,0.095,1-2-5,4,0.095,42
AACDBS,2-6-1,3,0.214,1-6-2,2,0.143,1-2-5,2,0.143,14
AACDCA,1-2-6,17,0.139,1-2-3,12,0.098,1-2-5,10,0.082,122
AACDCB,1-2-3,6,0.194,1-2-6,4,0.129,2-1-3,3,0.097,31
AACDCS,1-2-6,4,0.089,1-5-6,4,0.089,1-6-2,4,0.089,45
AACDDA,1-2-4,2,0.133,1-2-6,2,0.133,1-3-4,2,0.133,15
AACDDB,6-1-2,1,0.5,1-2-6,1,0.5,---,0,0.0,2
AACDDS,1-2-6,5,0.109,1-2-3,5,0.109,1-6-2,4,0.087,46
AACDSB,1-2-5,3,0.2,1-5-6,2,0.133,1-2-3,2,0.133,15
